name	                                                                         | type	              | in_shapes        | out_shapes	
vlm_with_expert.lm_expert.layers.9.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.9.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.9.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.9.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.9.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.10.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.10.self_attn.k_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.10.self_attn.v_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.10.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.10.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.10.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.10.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.11.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.11.self_attn.k_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.11.self_attn.v_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.11.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.11.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.11.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.11.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.12.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.12.self_attn.k_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.12.self_attn.v_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.12.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.12.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.12.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.12.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.13.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.13.self_attn.k_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.13.self_attn.v_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.13.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.13.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.13.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.13.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.14.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.14.self_attn.k_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.14.self_attn.v_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.14.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.14.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.14.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.14.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.15.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.15.self_attn.k_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.15.self_attn.v_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.15.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.15.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.15.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.15.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
action_out_proj                                                                  | Linear             | [(1, 50, 720)] | [(1, 50, 32)]
action_in_proj                                                                   | Linear             | [(1, 50, 32)] | [(1, 50, 720)]
action_time_mlp_in                                                               | Linear             | [(1, 50, 1440)] | [(1, 50, 720)]
action_time_mlp_out                                                              | Linear             | [(1, 50, 720)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.0.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.0.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.0.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.0.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.0.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.0.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.0.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.1.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.1.self_attn.k_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.1.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.1.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.1.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.1.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.1.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.2.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.2.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.2.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.2.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.2.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.2.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.2.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.3.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.3.self_attn.k_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.3.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.3.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.3.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.3.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.3.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.4.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.4.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.4.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.4.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.4.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.4.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.4.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.5.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.5.self_attn.k_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.5.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.5.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.5.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.5.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.5.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.6.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.6.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.6.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.6.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.6.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.6.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.6.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.7.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.7.self_attn.k_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.7.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.7.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.7.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.7.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.7.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.8.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.8.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.8.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.8.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.8.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.8.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.8.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.9.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.9.self_attn.k_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.9.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.9.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.9.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.9.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.9.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.10.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.10.self_attn.k_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.10.self_attn.v_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.10.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.10.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.10.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.10.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.11.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.11.self_attn.k_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.11.self_attn.v_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.11.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.11.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.11.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.11.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.12.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.12.self_attn.k_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.12.self_attn.v_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.12.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.12.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.12.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.12.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.13.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.13.self_attn.k_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.13.self_attn.v_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.13.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.13.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.13.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.13.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.14.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.14.self_attn.k_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.14.self_attn.v_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.14.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.14.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.14.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.14.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.15.self_attn.q_proj                             | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.15.self_attn.k_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.15.self_attn.v_proj                             | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.15.self_attn.o_proj                             | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.15.mlp.gate_proj                                | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.15.mlp.up_proj                                  | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.15.mlp.down_proj                                | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
action_out_proj                                                                  | Linear             | [(1, 50, 720)] | [(1, 50, 32)]
action_in_proj                                                                   | Linear             | [(1, 50, 32)] | [(1, 50, 720)]
action_time_mlp_in                                                               | Linear             | [(1, 50, 1440)] | [(1, 50, 720)]
action_time_mlp_out                                                              | Linear             | [(1, 50, 720)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.0.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.0.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.0.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.0.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.0.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.0.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.0.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.1.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.1.self_attn.k_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.1.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.1.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.1.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.1.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.1.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.2.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.2.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.2.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.2.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.2.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.2.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.2.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.3.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.3.self_attn.k_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.3.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.3.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.3.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.3.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.3.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.4.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.4.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.4.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.4.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.4.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.4.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.4.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.5.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.5.self_attn.k_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.5.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.5.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.5.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.5.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.5.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.6.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.6.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.6.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.6.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.6.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.6.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.6.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.7.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.7.self_attn.k_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.7.self_attn.v_proj                              | Linear             | [(1, 241, 320)] | [(1, 241, 320)]
vlm_with_expert.lm_expert.layers.7.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.7.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.7.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.7.mlp.down_proj                                 | Linear             | [(1, 50, 2048)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.8.self_attn.q_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 960)]
vlm_with_expert.lm_expert.layers.8.self_attn.k_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.8.self_attn.v_proj                              | Linear             | [(1, 50, 720)] | [(1, 50, 320)]
vlm_with_expert.lm_expert.layers.8.self_attn.o_proj                              | Linear             | [(1, 50, 960)] | [(1, 50, 720)]
vlm_with_expert.lm_expert.layers.8.mlp.gate_proj                                 | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
vlm_with_expert.lm_expert.layers.8.mlp.up_proj                                   | Linear             | [(1, 50, 720)] | [(1, 50, 2048)]
